"filename","dynamics_rms_Mean","dynamics_rms_Std","dynamics_rms_Slope","dynamics_lowenergy_Mean","rhythm_attack_time_Mean","rhythm_attack_time_Std","rhythm_attack_time_Slope","articulation_eventdensity_Mean","rhythm_fluctuation_peak_PeakMagMean","rhythm_tempo_Mean","rhythm_tempo_Std","rhythm_pulseclarity_Mean","rhythm_pulseclarity_Std","timbre_centroid_Mean","timbre_centroid_Std","timbre_roughness_Mean","timbre_irregularity_Mean","timbre_irregularity_Std","timbre_spectralflux_Std","pitch_salient_Mean","pitch_salient_Std","pitch_chromagram_centroid_Mean","pitch_chromagram_centroid_Std","tonal_keyclarity_Mean","tonal_keyclarity_Std","tonal_mode_Mean","tonal_mode_Std","tonal_hcdf_Mean","tonal_spectentr_Mean","structure_novelty_SPE_Mean","structure_novelty_RHY_Mean","structure_novelty_TON_Mean","structure_novelty_REG_Mean"
"Folk_HIGH_10.mp3",0.054518,0.035534,-0.808344,0.536913,0.032767,0.038072,-0.263232,4.323418,682.125533,118.098621,32.660964,0.223811,0.107003,3172.850605,590.333616,2.983382,0.748471,0.370523,7.469143,570.577655,387.129203,65.778105,3.453368,0.817105,0.063686,0.077426,0.09135,1.048826,0.985824,1.117878,0.994005,0.714094,0.990642
"Folk_HIGH_11.mp3",0.107703,0.035368,0.404518,0.210615,0.032489,0.027193,0.171969,4.88097,2084.105946,135.508385,38.420511,0.225894,0.064684,1930.907755,859.940295,2.72444,0.44969,0.274509,11.639061,181.541002,99.294413,58.697288,1.797693,0.587421,0.163665,0.022445,0.132001,0.829435,0.984844,1.223998,1.470418,1.111664,1.227674
"Folk_HIGH_12.mp3",0.184293,0.048635,-0.050587,0.124265,0.039469,0.03909,0.225986,3.588501,1243.14884,137.200517,23.673175,0.252581,0.073202,2107.084719,435.095291,12.886258,0.454072,0.20512,12.97929,384.847687,293.844894,64.594662,1.855476,0.799312,0.066084,0.055277,0.150102,1.075596,0.985262,0.917806,0.951763,0.918731,1.176721
"Folk_HIGH_13.mp3",0.189546,0.066772,0.663754,0.221941,0.034231,0.021876,0.088173,4.44937,2113.235465,129.623343,30.062865,0.31998,0.123183,1185.422769,538.108489,4.137238,0.674779,0.392566,22.508412,180.274783,112.40253,58.886861,2.441265,0.490254,0.071979,-0.009244,0.071098,0.671879,0.966937,1.177925,1.900873,1.135636,1.24779
"Folk_HIGH_14.mp3",0.032182,0.022746,0.219145,0.540468,0.075557,0.11794,0.295366,2.622789,1407.362196,123.994563,32.868594,0.285575,0.114255,1224.673772,384.593132,0.699238,0.356739,0.258869,6.614811,199.775564,84.665582,59.346763,1.699098,0.524169,0.076529,-0.071839,0.073261,0.776606,0.979588,0.969434,1.227204,1.032944,1.109288
"Folk_LOW_15.mp3",0.157406,0.038629,-0.988582,0.142857,0.041404,0.050158,0.134212,4.497034,1178.910113,125.602551,32.309831,0.225316,0.07849,1660.499202,414.564248,9.284411,0.578867,0.243799,14.235465,376.388208,281.924774,64.202477,1.929714,0.820867,0.084761,-0.016606,0.136822,0.976268,0.98513,0.894088,0.979024,1.181956,1.273508
"Folk_LOW_16.mp3",0.089511,0.043045,1.379453,0.367973,0.036902,0.039952,-0.008719,2.551323,678.858905,113.558806,36.870383,0.182176,0.085493,1834.898679,512.133394,1.891081,0.743626,0.371016,10.310819,408.884989,247.651135,66.482639,4.163934,0.657974,0.105488,-0.047645,0.149376,1.114843,0.978865,1.016451,1.006193,1.194658,1.156962
"Folk_LOW_17.mp3",0.208567,0.037879,-2.292246,0.041982,0.023187,0.020171,0.088274,4.259249,149.558987,131.997142,26.207694,0.162222,0.046201,1468.011833,204.520697,11.638116,0.881843,0.301558,8.055639,261.456298,331.367548,58.745747,2.272622,0.735812,0.046041,-0.149458,0.052588,0.217733,0.978907,0.748424,1.118223,0.249072,0.571325
"Folk_LOW_18.mp3",0.142308,0.061814,0.64164,0.322222,0.063223,0.068499,-0.333999,2.626599,1900.478747,159.28283,3.215269,0.485422,0.06681,1596.693769,732.314072,4.297631,0.41559,0.196277,26.007201,245.660813,184.148497,57.51069,1.544548,0.59453,0.163206,-0.042575,0.096845,0.542872,0.990741,0.978572,1.268394,1.086736,1.431276
"Folk_LOW_19.mp3",0.129668,0.044665,-0.726328,0.262804,0.034359,0.03703,0.078347,3.824549,1200.98494,120.979341,25.514708,0.3071,0.087865,797.357934,243.877154,2.526616,0.663223,0.372618,12.438098,484.560202,344.835599,59.507988,2.82542,0.612765,0.13105,-0.073358,0.091048,0.974642,0.978994,1.073102,1.346013,1.126519,1.181104
"Folk_LOW_20.mp3",0.096754,0.041782,-0.016468,0.348447,0.025689,0.018402,-0.100555,5.938115,1589.85358,144.063511,21.396825,0.313731,0.120448,1861.090007,441.382041,0.410214,0.817389,0.420593,11.022398,628.349391,169.081755,67.287483,3.392739,0.639962,0.134645,0.076076,0.121951,1.044634,0.98249,1.401773,1.286693,1.997484,1.699495
"Folk_LOW_21.mp3",0.086499,0.032575,1.012171,0.247675,0.037148,0.047813,0.163756,1.519912,504.27816,130.188018,39.372359,0.206684,0.060646,2328.93449,400.222447,6.082488,0.693506,0.343326,7.093027,341.860131,179.460019,68.280771,2.309756,0.791073,0.064895,-0.022549,0.15989,0.927935,0.975922,0.942275,1.243032,0.993119,1.06104
"Folk_MED_01.mp3",0.306874,0.066752,0.801133,0.087102,0.036824,0.043875,-0.321193,3.445088,485.526309,134.261111,17.113939,0.305356,0.095989,1443.44739,431.102103,10.857059,0.452934,0.256601,32.660208,251.62813,214.812172,58.592948,2.966227,0.790832,0.058462,0.064142,0.097185,0.643744,0.983146,0.962876,1.152883,0.988478,1.196211
"Folk_MED_02.mp3",0.157818,0.088372,0.191298,0.463025,0.03772,0.033871,0.13207,4.02855,1721.834828,127.313448,16.142068,0.477504,0.14795,1682.421709,679.937128,2.155179,0.455245,0.21004,33.405382,287.971245,289.416997,61.819773,4.18326,0.702104,0.102882,-0.096157,0.127227,0.865966,0.977477,0.869197,1.084002,0.905345,1.035642
"Folk_MED_03.mp3",0.128164,0.066802,0.075251,0.371064,0.071168,0.094898,-0.899013,2.856508,2034.842153,179.255226,2.47946,0.448338,0.09177,1565.300757,844.72594,5.057819,0.415585,0.265807,27.09093,435.809619,344.945716,62.168462,4.597629,0.728025,0.095327,-0.114052,0.167525,0.8487,0.993276,1.116906,1.24142,1.114301,1.300729
"Folk_MED_04.mp3",0.041399,0.029234,1.652371,0.561913,0.055104,0.078405,-0.838888,3.035851,822.387421,122.581406,37.155881,0.220532,0.106706,977.281873,340.879088,0.819002,0.47701,0.298587,5.710042,243.45558,211.906822,59.334731,2.71659,0.689359,0.12224,0.018117,0.082045,0.85157,0.963999,1.062172,1.293572,0.983546,1.142469
"Folk_MED_05.mp3",0.082634,0.023757,-0.251817,0.147775,0.030268,0.036405,0.095529,3.856801,268.187382,111.024917,33.792151,0.168974,0.0575,1168.082053,243.846069,2.787709,0.696298,0.278281,4.481476,228.726965,149.706853,61.498772,2.366344,0.74552,0.086447,0.020245,0.131812,1.179067,0.971971,0.899758,1.200365,0.815842,0.940467
