index,filename,ed,lo,lo2,lo3,lo4,ph,rm
0,80s_L_10_new-clip_80s_MED_In_Your_Room.mp3,3.997583731474259,-13.690185,-20.865863998540295,-20.98137455429192,0.08931641,396.04001359942043,0.20485930343716358
1,80s_H_05_new-clip_80s_HIGH_Who_Can_It_Be_Now_.mp3,4.253058782076205,-26.878716,-22.437195077802265,-23.352806286411294,0.06797664,253.59106450894598,-0.060965805649527235
2,Pop_H_09_new-clip_Pop_HIGH_We_Found_Love.mp3,5.02497614036805,-15.853715,-13.3548262052507,-12.431898740750464,0.23900394,373.6975226026148,-0.046419072680016535
3,Amb_L_07_new-clip_Ambient_HIGH_Dont_Bother_Theyre_Here.mp3,5.861910528127458,-14.807496,-23.105347336370702,-23.72773518380104,0.065104835,345.7806269964486,0.43707537743073444
4,Pop_L_04_new-clip_Pop_HIGH_Break_the_Rules.mp3,5.5515289306640625,-11.314787,-10.078181473148673,-9.907417885237543,0.31961644,325.2718769189018,-0.32652477509352223
5,Ele_H_01_new-clip_Electronic_LOW_Simplicity.mp3,2.96777114330462,-32.601734,-20.049635698331482,-21.794923140080552,0.081330575,273.2011700237192,0.005040636029957496
6,Ele_L_08_new-clip_Electronic_MED_Dumb_Love.mp3,4.186081478421462,-22.712084,-14.292621034477161,-14.253529536546472,0.1937865,428.9210010222664,-0.23620243269373095
7,Jaz_L_06_new-clip_Jazz_LOW_Tempest.mp3,1.4991470530063291,-21.772984,-21.158887868432743,-21.89627029088527,0.08038712,294.09171700529214,-0.06427576354288685
8,"60s_H_02_new-clip_60s_LOW_Walk,_Dont_Run_-_Stereo.mp3",2.937122075733545,-14.6837,-20.2089759269393,-20.305886595983655,0.09653964,340.5066112349851,-0.08657647127402406
9,Amb_L_09_new-clip_Ambient_LOW_Rain_And_Sea.mp3,5.362354085603113,-19.558386,-23.632206569618553,-23.072411070860728,0.07020684,392.0957423921425,-0.03363030675036833
10,Pop_L_01_new-clip_Pop_MED_Thank_You.mp3,2.6738248913493377,-22.52587,-12.609850637791492,-13.576649372252056,0.20949204,234.8014546987019,0.1897031006684822
11,Ele_L_11_new-clip_Electronic_LOW_El_Orden_del_Universo.mp3,1.4056125339981866,-21.390547,-21.508759410281016,-22.85137956018898,0.072016336,697.4219437827437,-0.15755845292110332
12,Met_H_10_new-clip_Metal_HIGH_Enter_Sandman.mp3,3.8998463114754096,-11.637448,-18.287778304918685,-17.595471251318163,0.13189442,156.0349375537092,-0.03526749872314368
13,Pop_L_02_new-clip_Pop_MED_weekends.mp3,2.9748682228915664,-22.673544,-25.678599446927887,-26.609468568487834,0.046722554,471.6256323219834,0.13631063805302715
14,Jaz_L_01_new-clip_Jazz_LOW_London_in_July.mp3,3.960900964536243,-18.403452,-18.720758113775624,-18.653393293567316,0.116769746,361.4175444652746,-0.2236278922130178
15,Ele_H_04_new-clip_Electronic_HIGH_Outside_-feat._Ellie_Goulding-.mp3,4.471375512295082,-13.24244,-10.697405019900332,-9.930188282884412,0.31877965,455.14480904603505,-0.24371187352336993
16,Fil_H_09_new-clip_Film_HIGH_The_Glory_Days.mp3,1.403595116255962,-21.855795,-20.005355794273434,-21.23648439651426,0.086731285,521.7015395498235,-0.30748816561712217
17,Amb_L_08_new-clip_Ambient_HIGH_Interloper.mp3,4.961412005289968,-22.652136,-21.270076856711523,-21.955712156558302,0.07983887,600.3017501343098,-0.19889517893501107
18,Pop_H_10_new-clip_Pop_HIGH_Love_Again.mp3,3.0299685029644268,-27.100151,-24.0388086889502,-28.001227377505664,0.039805092,423.28514295067146,-0.4406438249066998
19,Fil_L_01_new-clip_Film_MED_Tinker_Tailor_Soldier_Spy.mp3,0.8839574353448276,-47.4236,-24.81161708999716,-30.210214524839458,0.030866634,545.5125370014963,-0.21517299963999764
20,"Cla_L_09_new-clip_Classical_LOW_Violin_Sonata_No._5_in_F_Minor,_BWV_1018-_I._Largo.mp3",1.6354331487341771,-23.054998,-31.640381312784545,-32.13519427020428,0.02473092,425.8123777544426,-0.10225718410687694
21,Cla_L_08_new-clip_Classical_MED_The_Gardens_Light.mp3,2.835092574451411,-19.359684,-23.760132277005937,-23.212493132307426,0.06908366,186.5226682021388,0.5874251603604846
22,"Cla_H_06_new-clip_Classical_HIGH_Nocturne_No._2_in_E-Flat_Major,_Op._9_No._2.mp3",1.9701325491573034,-30.05898,-37.10465446325812,-38.275263202003366,0.0121965455,432.54447989715163,0.220372701225141
23,Met_L_06_new-clip_Metal_MED_Check_My_Brain.mp3,2.7365468625893565,-24.974749,-14.0135646917293,-14.34562982905797,0.19174255,281.3934803034661,0.01834462204477556
24,Fun_L_04_new-clip_Funk_MED_Mighty_and_High.mp3,5.182680876358695,-14.101416,-13.097378085627904,-12.109821042470788,0.2480327,225.71423522039055,0.015762112897147913
25,Amb_H_02_new-clip_Ambient_LOW_Value_Kit.mp3,0.6448082890070922,-25.697882,-29.625976538169912,-31.604429686146986,0.02628927,393.4032759040989,0.15634171964744464
26,80s_L_11_new-clip_80s_MED_Your_Love_Drives_Me_Crazy.mp3,2.3168636273734178,-26.772606,-28.013008159873444,-29.2720963726285,0.03438707,478.9772657181348,0.038616855201602324
27,Fun_L_05_new-clip_Funk_LOW_Walking_Trombone.mp3,4.97955322265625,-21.214586,-13.978928307179766,-14.217498412173402,0.19459204,502.9628477304564,-0.12783283679661117
28,Fun_L_02_new-clip_Funk_LOW_Shes_Gotta_Be.mp3,5.485515353045886,-42.745766,-18.09663249502475,-21.726875374568515,0.081970245,421.73153853955955,-0.06559389855949713
